vehicle_type;year_of_manufacture;engine_volume;fuel_type;number_of_km;vehicle_model;price_total;status;time_stamp
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;96419;Škoda Octavia;319000;for_sale;09.11.2020 19:40
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;100878;Škoda Octavia;329000;for_sale;09.11.2020 19:40
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;156523;Škoda Octavia;329000;for_sale;09.11.2020 19:40
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;329000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;187376;Škoda Octavia;339000;for_sale;09.11.2020 19:40
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;43664;Škoda Octavia;349000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;379000;for_sale;09.11.2020 19:40
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;389000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;83205;Škoda Octavia;399000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;107480;Škoda Octavia;439000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;93161;Škoda Octavia;449000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;09.11.2020 19:40
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;52351;Škoda Octavia;459000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;68307;Škoda Octavia;459000;for_sale;09.11.2020 19:40
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;479000;for_sale;09.11.2020 19:40
OCTAVIA 1.6 TDI CR DPF Ambition, hatchback, 1 598 ccm;2015;1 598 ccm;NAFTA;78940;Škoda Octavia;219000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 85kW Active Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;164870;Škoda Octavia;239000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 81kWStyle, liftback, 1 598 ccm;2015;1 598 ccm;NAFTA;82419;Škoda Octavia;269000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;279000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2017;1 598 ccm;NAFTA;61559;Škoda Octavia;289000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119220;Škoda Octavia;295000;for_sale;12.11.2020 18:40
OCTAVIA 1.4 CNG Ambition G-TEC Combi, kombi, 1 395 ccm;2017;1 395 ccm;ZEMNÍ PLYN;154963;Škoda Octavia;299000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 81kW Style Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;123572;Škoda Octavia;299000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Ambition Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;88647;Škoda Octavia;309000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119229;Škoda Octavia;315000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 85kW Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;142455;Škoda Octavia;319000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;87256;Škoda Octavia;319000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;82174;Škoda Octavia;319000;for_sale;12.11.2020 18:40
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;96419;Škoda Octavia;319000;for_sale;12.11.2020 18:40
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;100878;Škoda Octavia;329000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;156523;Škoda Octavia;329000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;329000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;187376;Škoda Octavia;339000;for_sale;12.11.2020 18:40
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;43664;Škoda Octavia;349000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;379000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;389000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;83205;Škoda Octavia;399000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;107480;Škoda Octavia;439000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;93161;Škoda Octavia;449000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;12.11.2020 18:40
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;52351;Škoda Octavia;459000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;68307;Škoda Octavia;459000;for_sale;12.11.2020 18:40
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;479000;for_sale;12.11.2020 18:40
OCTAVIA 1.6 TDI CR DPF Ambition, hatchback, 1 598 ccm;2015;1 598 ccm;NAFTA;78940;Škoda Octavia;219000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 85kW Active Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;164870;Škoda Octavia;239000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 81kWStyle, liftback, 1 598 ccm;2015;1 598 ccm;NAFTA;82419;Škoda Octavia;269000;for_sale;17.11.2020 19:56
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;279000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2017;1 598 ccm;NAFTA;61559;Škoda Octavia;289000;for_sale;17.11.2020 19:56
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119220;Škoda Octavia;295000;for_sale;17.11.2020 19:56
OCTAVIA 1.4 CNG Ambition G-TEC Combi, kombi, 1 395 ccm;2017;1 395 ccm;ZEMNÍ PLYN;154963;Škoda Octavia;299000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 81kW Style Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;123572;Škoda Octavia;299000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;17.11.2020 19:56
OCTAVIA 2.0 TDI 110kW Ambition Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;88647;Škoda Octavia;309000;for_sale;17.11.2020 19:56
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119229;Škoda Octavia;315000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 85kW Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;142455;Škoda Octavia;319000;for_sale;17.11.2020 19:56
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;17.11.2020 19:56
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;87256;Škoda Octavia;319000;for_sale;17.11.2020 19:56
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;82174;Škoda Octavia;319000;for_sale;17.11.2020 19:57
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;96419;Škoda Octavia;319000;for_sale;17.11.2020 19:57
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;100878;Škoda Octavia;329000;for_sale;17.11.2020 19:57
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;156523;Škoda Octavia;329000;for_sale;17.11.2020 19:57
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;329000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;187376;Škoda Octavia;339000;for_sale;17.11.2020 19:57
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;43664;Škoda Octavia;349000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;110199;Škoda Octavia;349000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW DSG Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;81867;Škoda Octavia;359000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;379000;for_sale;17.11.2020 19:57
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;389000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;83205;Škoda Octavia;399000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;107480;Škoda Octavia;439000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;93161;Škoda Octavia;449000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;17.11.2020 19:57
OCTAVIA 1.4 TSI 110kW Style Combi, kombi, 1 395 ccm;2018;1 395 ccm;BENZÍN;38724;Škoda Octavia;459000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;52351;Škoda Octavia;459000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;68307;Škoda Octavia;459000;for_sale;17.11.2020 19:57
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;479000;for_sale;17.11.2020 19:57
OCTAVIA 1.6 TDI 85kW Active Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;164870;Škoda Octavia;239000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;259000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 81kWStyle, liftback, 1 598 ccm;2015;1 598 ccm;NAFTA;82419;Škoda Octavia;269000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;279000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2017;1 598 ccm;NAFTA;61559;Škoda Octavia;289000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119220;Škoda Octavia;295000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 81kW Style Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;123572;Škoda Octavia;299000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Ambition Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;88647;Škoda Octavia;309000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119229;Škoda Octavia;315000;for_sale;21.11.2020 11:03
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;96419;Škoda Octavia;319000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;87256;Škoda Octavia;319000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;142455;Škoda Octavia;319000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;329000;for_sale;21.11.2020 11:03
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;187376;Škoda Octavia;339000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2018;1 598 ccm;NAFTA;94395;Škoda Octavia;349000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2018;1 598 ccm;NAFTA;86050;Škoda Octavia;355000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2018;1 598 ccm;NAFTA;85093;Škoda Octavia;355000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Ambition Fresh, hatchback, 1 598 ccm;2018;1 598 ccm;NAFTA;74354;Škoda Octavia;369000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;379000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;389000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;83205;Škoda Octavia;399000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;107480;Škoda Octavia;439000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;93161;Škoda Octavia;449000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;68307;Škoda Octavia;459000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;52351;Škoda Octavia;459000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;21.11.2020 11:03
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;479000;for_sale;21.11.2020 11:03
OCTAVIA 1.6 TDI 85kW Active Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;164870;Škoda Octavia;239000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;259000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 81kWStyle, liftback, 1 598 ccm;2015;1 598 ccm;NAFTA;82419;Škoda Octavia;269000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;279000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2017;1 598 ccm;NAFTA;61559;Škoda Octavia;289000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119220;Škoda Octavia;295000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 81kW Style Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;123572;Škoda Octavia;299000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Ambition Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;88647;Škoda Octavia;309000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119229;Škoda Octavia;315000;for_sale;23.11.2020 23:18
OCTAVIA 1.0 TSI 85kW Style Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;96419;Škoda Octavia;319000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;87256;Škoda Octavia;319000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;142455;Škoda Octavia;319000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 81kW Ambition Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;85753;Škoda Octavia;329000;for_sale;23.11.2020 23:18
OCTAVIA 1.0 TSI 85kW Ambition Fresh Combi, kombi, 999 ccm;2017;999 ccm;BENZÍN;59457;Škoda Octavia;339000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;187376;Škoda Octavia;339000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2018;1 598 ccm;NAFTA;94395;Škoda Octavia;349000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2018;1 598 ccm;NAFTA;86050;Škoda Octavia;355000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2018;1 598 ccm;NAFTA;85093;Škoda Octavia;355000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW Ambition Fresh, hatchback, 1 598 ccm;2018;1 598 ccm;NAFTA;74354;Škoda Octavia;369000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 135 kW DSG Style 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;73040;Škoda Octavia;379000;for_sale;23.11.2020 23:18
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;73530;Škoda Octavia;389000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;83205;Škoda Octavia;399000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;54192;Škoda Octavia;439000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;107480;Škoda Octavia;439000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 135 kW 4x4 DSG Style Combi, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;93161;Škoda Octavia;449000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;68307;Škoda Octavia;459000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style Combi 4x4, kombi, 1 968 ccm;2017;1 968 ccm;NAFTA;52351;Škoda Octavia;459000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2018;1 968 ccm;NAFTA;34654;Škoda Octavia;459000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 135 kW DSG L&K 4x4, liftback, 1 968 ccm;2017;1 968 ccm;NAFTA;61591;Škoda Octavia;479000;for_sale;23.11.2020 23:18
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;170915;Škoda Octavia;259000;for_sale;29.11.2020 14:14
OCTAVIA 1.6 TDI 81kW DSG Ambition, liftback, 1 598 ccm;2016;1 598 ccm;NAFTA;144352;Škoda Octavia;269000;for_sale;29.11.2020 14:14
OCTAVIA 1.6 TDI 81kWStyle, liftback, 1 598 ccm;2015;1 598 ccm;NAFTA;82419;Škoda Octavia;269000;for_sale;29.11.2020 14:14
OCTAVIA 2.0 TDI 110kW L&K, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;201401;Škoda Octavia;279000;for_sale;29.11.2020 14:14
OCTAVIA 2.0 TDI 110kW Style Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;135746;Škoda Octavia;289000;for_sale;29.11.2020 14:14
OCTAVIA 1.6 TDI 85kW Ambition Fresh, liftback, 1 598 ccm;2017;1 598 ccm;NAFTA;61559;Škoda Octavia;289000;for_sale;29.11.2020 14:14
OCTAVIA 2.0 TDI 110kW Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119220;Škoda Octavia;295000;for_sale;29.11.2020 14:14
OCTAVIA 1.6 TDI 81kW Style 4x4, hatchback, 1 598 ccm;2016;1 598 ccm;NAFTA;154297;Škoda Octavia;299000;for_sale;29.11.2020 14:14
OCTAVIA 1.6 TDI 81kW Style Combi 4x4, kombi, 1 598 ccm;2016;1 598 ccm;NAFTA;123572;Škoda Octavia;299000;for_sale;29.11.2020 14:14
OCTAVIA 2.0 TDI 110kW Ambition Combi, kombi, 1 968 ccm;2016;1 968 ccm;NAFTA;88647;Škoda Octavia;309000;for_sale;29.11.2020 14:14
OCTAVIA 2.0 TDI 110kW DSG Style, liftback, 1 968 ccm;2016;1 968 ccm;NAFTA;119229;Škoda Octavia;315000;for_sale;29.11.2020 14:14
OCTAVIA 1.6 TDI 85kW DSG Style Combi, kombi, 1 598 ccm;2017;1 598 ccm;NAFTA;183631;Škoda Octavia;319000;for_sale;29.11.2020 14:14
